Task.Name,Task.Writeup,GitHub.Blob.URL,Generating.Script.URL
Target Search,<h2>Target Search</h2><br><h2>1. Set-Up</h2><p>Participants could view a labeled board with 100 three-inch squares which corresponded to values on a diagram the experimenter had.</p><br><h2>2. Objective / Goal</h2><p>The goals was to collectively guess coordinates and value of the diagram on a labeled board.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/79295fb95d4943dda66d96f44fbbcd693580ab1a,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Moving offices (complex task),<h2>Moving offices (complex task)</h2><br><h2>1. Set-Up</h2><p>Participants received a card with a problem statement and a card with a piece of information needed to solve the problem.</p><br><h2>2. Objective / Goal</h2><p>The goal was to solve the problem by exchanging information with group members through message notes.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/757fa92ad73dc2ae6743517f1da9ad5268ed76e7,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Wason’s Selection Task,<h2>Wason’s Selection Task</h2><br><h2>1. Set-Up</h2><p>Participants were given two cards with conditional sentences and eight cards with colored geometric shapes on one side and scribble on another front side up in a random array.</p><br><h2>2. Objective / Goal</h2><p>The goal was to select a card that proved the given conditional sentence false.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/58c1d8524af05c0ee34d491fc2e0b7edf49a6917,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Desert survival,"<h2>Desert survival</h2><br><h2>1. Set-Up</h2><p>Participants viewed a video describing a survival scenario in which a plane crashes in the desert and various items (e.g., water, machete, compass, and cosmetic mirror) are salvaged from the wreckage.</p><br><h2>2. Objective / Goal</h2><p>The goal was to rank 16 items in the order of most to least importance for survival.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/f043eae778070451cd2876d9c404dd76e93724d9,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
The N light bulbs game,<h2>The N light bulbs game</h2><br><h2>1. Set-Up</h2><p>Participants viewed an NK-landscape with 10 dimensions representing 10 lightbulbs that could be either turned on or off.</p><br><h2>2. Objective / Goal</h2><p>The goal was to turn lightbulbs on or off to get the highest payoff.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/71d32cda52d2df7767378b990f489b66e037a6db,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
The maximum of a function,<h2>The maximum of a function</h2><br><h2>1. Set-Up</h2><p>The participants worked in a visual interface through which they guessed function&#39;s maximum and received its outputs. Functions were hidden from participants.</p><br><h2>2. Objective / Goal</h2><p>The goal was to find the maximum of a complex function.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c1dd64e5efcfdda8bc41db25331dc87e792af2ce,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Reading the mind in the eyes,<h2>Reading the mind in the eyes</h2><br><h2>1. Set-Up</h2><p>Participants were given 36 pairs of eyes.</p><br><h2>2. Objective / Goal</h2><p>The goal was to choose one of four words describing the emotion.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8144d347e9816f37f9b5d30ee22f08d2c4c92359,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Iterative lemonade stand task,"<h2>Iterative lemonade stand task</h2><br><h2>1. Set-Up</h2><p>Participants are given an excel program that allows users to tweak five variables (price, lemon content, sugar content, color and location or a lemonade cart).</p><br><h2>2. Objective / Goal</h2><p>The goal is to maximize the cart&#39;s revenue by adjusting given variables.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e20ab40179e2b7ed3f38066cb1c7dbc909235e8b,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Random dot motion,<h2>Random dot motion</h2><br><h2>1. Set-Up</h2><p>Participants were exposed to 50 moving dots on a computer screen with some dots moving moving consistently in similar direction and other in random directions.</p><br><h2>2. Objective / Goal</h2><p>The goal was to determine the main direction of dots with correlated movement.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/779682de294797a024eb6b7985746fce30da34b0,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Crisis mapping,"<h2>Crisis mapping</h2><br><h2>1. Set-Up</h2><p>Participants were given a collection of pre-processed 1567 tweets about Typhoon Pablo posted on December 4th and 5th.</p><br><h2>2. Objective / Goal</h2><p>The goal was to collect relevant tweets and geo-locate, time-stamp, and categorize damage/flooding photos and videos in them to create a crisis map for Typhoon Pablo.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b1c9657b4e0d4d6dd5c036243984547cf39e5b0d,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Game of Clue - Terrorist Attack,"<h2>Game of Clue - Terrorist Attack</h2><br><h2>1. Set-Up</h2><p>Participants worked in a Web platform that allowed to communicate regarding clues in a &#39;who-done-it&#39; game like Clue or Cluedo, but with a terrorist attack.</p><br><h2>2. Objective / Goal</h2><p>The goal was to solve: (a) who would carry out the terrorist attack, (b) what would be the target, &copy; where the attack would take place, and (d) when the attack would take place.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/bc0469644e74e762bec9a0a6db1c060efa3ab841,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Sudoku,"<h2>Sudoku</h2><br><h2>1. Set-Up</h2><p>Participants were given a computer with a shared online system which included a sudoku puzzle and in-built chat window.</p><br><h2>2. Objective / Goal</h2><p>The goal was to solve a sudoku puzzle so that every row, every column, and every 3x3 box of 9x9 grid has the digits 1-9 only once.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1e8a4ae6e1365d692170e9f618a0f43f0df34a7b,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Judgment of product and slogan,<h2>Judgment of product and slogan</h2><br><h2>1. Set-Up</h2><p>Participants received a series of products and accompanying slogans in a shared online system viewed on laptop computer.</p><br><h2>2. Objective / Goal</h2><p>The goal was to to rate slogans on a scale of 1 (worst) to 10 (best) based on what participants believed to be a large sample of what Americans would rate their suitability for the given products.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b220383707f747631b0fb1fd0e4bd12046398c9c,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Unscramble words (anagrams),<h2>Unscramble words (anagrams)</h2><br><h2>1. Set-Up</h2><p>Participants received a list of 24 randomly scrambled words.</p><br><h2>2. Objective / Goal</h2><p>The goal was to unscramble as many words from the list as possible in two minutes.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6a611916f59f67cf29d235a3b1bd2e445b30afef,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Recall word lists,<h2>Recall word lists</h2><br><h2>1. Set-Up</h2><p>Participants received a list of words recorded on audio tape by a male voice at the rate of one word per second with an auditory cue recall recorded after the last word of each list.</p><br><h2>2. Objective / Goal</h2><p>The goal was to remember the lists of words and then write down as many words from the list in any order but starting with the last word.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/cefbc3b58a216b1ff0551859b6b09cd9fe2bee63,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Architectural design task,"<h2>Architectural design task</h2><br><h2>1. Set-Up</h2><p>Participants received written and video instruction of building task and scoring information.</p><br><h2>2. Objective / Goal</h2><p>The goal was to design a house, a garage, and a pool from a limited set of building blocks, adhering to provided rules for each building.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6b05e21b66bed18ec83ab8fdb5f0aa562553b57e,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Space Fortress,"<h2>Space Fortress</h2><br><h2>1. Set-Up</h2><p>Participants received a computer screen with a video game, headphones with sound effects, a joystick and a trigger to control a space ship.</p><br><h2>2. Objective / Goal</h2><p>The goal was to gain as many points as possible by launching missiles from spaceship, destroying a space fortress and avoiding damage.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a0fe1e312d10c56d2369395ce07081e95c2e7f06,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
