task,question_name,value
"Wolf, goat and cabbage transfer",Q8type_8_performance_elaboration,"There is only a few ways to accomplish the task, and it either works or you fail"
Computer maze,Q8type_8_performance_elaboration,"no,"
Graph coloring task,Q8type_8_performance_elaboration,I presume this because it is completed correctly or it isn't
Visual Oddball Target,Q8type_8_performance_elaboration,Since you either identify the oddball or not I think it's an all or nothing task
Search for Oil Task,Q8type_8_performance_elaboration,Because you can obtain points and beat out others without winning the game it doesn't seem like an all or nothing game
Computer maze,Q8type_8_performance_elaboration,"The navigation portion IS all or nothing, but the tagging is not, so overall, the task is NOT all or nothing, but a component is."
Letters-to-numbers problems (cryptography),Q8type_8_performance_elaboration,It's based on the highest score not pass/fail
Word construction from a subset of letters,Q8type_8_performance_elaboration,It's based on the highest score not pass/fail
Putting food into categories,Q8type_8_performance_elaboration,no because its a matter of ending up with a certain amount of ideas not all or nothing
Wildcat Wells,Q8type_8_performance_elaboration,"There is no info in the description about most points. It sounds like the winner is the winner and everyone else looses. Nothing about points or anything, just find the most oil"
Railroad Route Construction game,Q8type_8_performance_elaboration,No trouble.
Checkers,Q8type_8_performance_elaboration,I'm not really sure if you have all of the computer's pieces just on a technicality because you can block them in and win the game when they have a piece left.
Guessing the correlation,Q8type_8_performance_elaboration,"They are ""evaluated on accuracy"" I take to mean thqat there is some partial crediut or percebnt score they are given. They dont have to be 100% precise"
Reproducing arts,Q8type_8_performance_elaboration,"You're looking to get the maximum amount of point, it's not pass/fail"
Recall association,Q9divisible_unitary_elaboration,not sure if it is possible for different participants in a group to be given different words and then they come together.
Moral Reasoning (Disciplinary Action Case),Q9divisible_unitary_elaboration,"I assumed it was a group task, but I don't think this suites this group task. "
Computer maze,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Trivia Multiple Choice Quiz,Q9divisible_unitary_elaboration,"It wasn't specified in the task if the participants would be working together on a team or each doing their own quiz. And it wasn't speficied if the questions would be presented one after another (as real life trivia games often do) or if you could pick and choose from the whole list at once. So I was very unconfident. I went with they would all be working gether from a page of questions, and so could split them up to be more efficient."
Recall videos,Q9divisible_unitary_elaboration,"theoretically if the video could be split in segments and each participant only given questions based on that segment, than yes.  not sure if this is possible with the given description"
Recall images,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Guessing the correlation,Q9divisible_unitary_elaboration,"Since it is a series of scatter plots, participants could divide those up."
Recall association,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Image rating,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Recall images,Q9divisible_unitary_elaboration,"Not applicable because each participant is shown the target faces on individual screens, this is an individual task and can not be divided"
Search for Oil Task,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Divergent Association Task,Q9divisible_unitary_elaboration,Based on the instructions I believe this is an individual task and not a group task.
Word construction from a subset of letters,Q9divisible_unitary_elaboration,"I assume everyone would try to use all letter to generate what they can, I don't think the task can be divided. "
Abstract grid task,Q9divisible_unitary_elaboration,"Theres too many interconnecting steps, as each step affects the rest."
Putting food into categories,Q9divisible_unitary_elaboration,no because one parts does not depend on the order to be able to come up with more ideas
Reproducing arts,Q9divisible_unitary_elaboration,I think if different members remember certain quadrants it could make the task more accurate
Railroad Route Construction game,Q9divisible_unitary_elaboration,No trouble.
The Fish game,Q9divisible_unitary_elaboration,There is nothing to divide since each participant is playing separately
9 Dot Problem,Q9divisible_unitary_elaboration,"This one was difficult to answer, I could see both sides, dividing and not diving."
Visual Oddball Target,Q9divisible_unitary_elaboration,Set Up and Objective did not disclose any group information
