_id,playerId,gameId,createdAt,data.synergyPreference,data.teamViability,data.enjoyedTask,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
eHpFi9HTD9xvrafM3,quLPTLFLkR6jXtnwp,NWGXm55eNWYfJELCz,2024-04-22T18:39:13Z,individual,true,strongly disagree,,,,,"Honestly, doesn't make much sense",No,
FAAWywDt7bNXL7DTG,quLPTLFLkR6jXtnwp,NWGXm55eNWYfJELCz,2024-04-22T18:40:30Z,,,,78,male,"None, I'm a two finger typist","Yes, crazy for everyone",,,high-school
3BRWhXmCLuSjqGTi9,X8MESSJp5Rhfv86uo,fZbiPZfQ3oHRiA92c,2024-04-22T18:52:20Z,individual,,agree,,,,,,Yes,
yvqJFZL59Nv52hhrN,X8MESSJp5Rhfv86uo,fZbiPZfQ3oHRiA92c,2024-04-22T18:53:00Z,,,,60,Female,Middle-ish,Yes,,,high-school
hL9u6TNWfo5q5KzB2,BowGni2dnKQbnokk2,5cbm6fMGBhkLLEenu,2024-04-22T18:57:51Z,individual,,agree,,,,,"I had no issues other than not knowing if I needed to enter two shift enters when typing during that task. Also, this text box can't change size so it is a bit of a hassle writing this.",Yes,
P8N2MsKJCdQ8Ctn8o,BowGni2dnKQbnokk2,5cbm6fMGBhkLLEenu,2024-04-22T18:59:21Z,,,,48,male,I'm not sure. I like doing these types of tasks/puzzles/games.,I think so.,,,bachelor
DFMgD7LsvZxtExg9t,jBZtarbXvPn5L7DhD,MQxZcWvgv8yY6RQyo,2024-04-22T19:03:37Z,team,true,agree,,,,,,Yes,
G8XieYGufdj7tcJt5,BoiZJRj3dzTkX7rn8,MQxZcWvgv8yY6RQyo,2024-04-22T19:03:43Z,individual,true,strongly agree,,,,,,Yes,
kmtQh33uceRY4GdwS,dqrgx56BdK4stq6wn,MQxZcWvgv8yY6RQyo,2024-04-22T19:03:44Z,team,true,strongly agree,,,,,Very cool experiments,Yes,
Lt4N6D4kA6TqgAxyL,oR4ypAX6F9cjBG7tT,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:02Z,team,false,agree,,,,,Would like it better if I had a HIT to submit on Mturk. Would feel more secure about payment.,,
sLWXPuZ5kpDwpuJoa,6NJGX6Ac6Sdc9u8zp,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:03Z,team,true,strongly agree,,,,,No,Yes,
WgwxwuXmRkR6F8n7x,xHQiw5BA3KZyopk86,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:04Z,team,true,strongly agree,,,,,The notification was right before the game start,Yes,
WXydMtySsZH8qkp7i,jBZtarbXvPn5L7DhD,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:05Z,,,,24,female,Word scramble and audio task,"No, a bit low. ",,,bachelor
3nhNcBmNSSNbmDdX7,dqrgx56BdK4stq6wn,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:12Z,,,,24,Male,"I guess it was ok, but not thaat good",Yes,,,master
YuhTqhWAuPogKMnF5,6NJGX6Ac6Sdc9u8zp,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:29Z,,,,41,Female,alright,no,,,other
awc84j2cTXFWXvwZt,BoiZJRj3dzTkX7rn8,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:32Z,,,,70,female,so so,ok,,,bachelor
tGNRdQy2KWuu9Epub,oR4ypAX6F9cjBG7tT,MQxZcWvgv8yY6RQyo,2024-04-22T19:04:52Z,,,,34,Male,Communicating,It was mediocre. could have been more for the amount of time spent.,,,high-school
Q49itXktmDHfCpP5N,xHQiw5BA3KZyopk86,MQxZcWvgv8yY6RQyo,2024-04-22T19:05:01Z,,,,48,female,"We attempted to divide the tasks among ourselves, with each person handling a portion, and occasionally discussing potential outcomes.",Yes,,,bachelor
Fy5TwMDwchDJABNek,doeTyq3jMmae4n3XE,jYiAoyGy3j3nFwbmQ,2024-04-22T19:07:53Z,individual,false,neither agree nor disagree,,,,,,No,
8Kvk6ribNyDwTLodv,JcvARDDsHnHRBhBSb,jYiAoyGy3j3nFwbmQ,2024-04-22T19:08:00Z,individual,true,strongly agree,,,,,no,Yes,
H4dPt5mZjXxK2BD6R,JcvARDDsHnHRBhBSb,jYiAoyGy3j3nFwbmQ,2024-04-22T19:08:25Z,,,,52,male,teamwork,yes,,,master
KEaZDWJ2dPBrCjz8k,doeTyq3jMmae4n3XE,jYiAoyGy3j3nFwbmQ,2024-04-22T19:08:37Z,,,,50,male,My willingness to go along with the group's determinations,yes,,,high-school
sCggBDZtBgrayYX2X,8bx7nosNLSWqFT9hq,R6oquHYP2eTfn97cv,2024-04-22T19:11:03Z,individual,,strongly agree,,,,,The games were a lot of fun. thank you.,Yes,
aesMFYYwfhWHT4Q2F,8bx7nosNLSWqFT9hq,R6oquHYP2eTfn97cv,2024-04-22T19:12:03Z,,,,46,female,I think I was pretty good at typing. ,"yes, very fair. thank you.",,,high-school
gXS6eW3SWknYsgJTS,RyJ3Lpc3QyZzuXCZB,SaygskpSjccSYvhZC,2024-04-22T19:15:44Z,individual,,agree,,,,,None,Yes,
6xBkNrLLimsSnJFXY,RyJ3Lpc3QyZzuXCZB,SaygskpSjccSYvhZC,2024-04-22T19:16:26Z,,,,55,Female,Average,Yes,,,bachelor
ciiueb9xCh43xTqm6,otfsZb7RdqRGrHN95,sm6HMALyoW3bJpXEP,2024-04-22T19:20:49Z,team,false,agree,,,,,,Yes,
pvFcugTAWBbXmM8Kr,Wc6e3j9Q9hKz4crPv,sm6HMALyoW3bJpXEP,2024-04-22T19:21:08Z,team,true,agree,,,,,some of the wait times were too long,Yes,
4YEefn3biSn39ZEsA,QJ6CM8bwZE6WAmNsw,sm6HMALyoW3bJpXEP,2024-04-22T19:21:40Z,individual,false,strongly agree,,,,,It is very interesting task ,Yes,
JRkMFnWSf6b5PQgGh,Wc6e3j9Q9hKz4crPv,sm6HMALyoW3bJpXEP,2024-04-22T19:21:42Z,,,,63,male,average,depends on how much bonus I get :-),,,master
QbDaMtATpZE6fBGhd,otfsZb7RdqRGrHN95,sm6HMALyoW3bJpXEP,2024-04-22T19:21:59Z,,,,43,male,I did better on the word games and felt the logic puzzle was difficult.,It was too low for how long this task was. Longer tasks like this should pay more.,,,bachelor
uN2PjD44krGkjyjHA,oNDba4Afn8xQBNaQj,NWGXm55eNWYfJELCz,2024-04-22T19:22:33Z,individual,false,agree,,,,,"if people left, does it affect our score?",Yes,
FpoCkJDfTfbCSqEKc,QJ6CM8bwZE6WAmNsw,sm6HMALyoW3bJpXEP,2024-04-22T19:22:45Z,,,,32,Male,It will mind relax game,Nothing,,,bachelor
4f2jAxCE2ZKqkxyuP,yZSes4tCCfr7rGQzG,NWGXm55eNWYfJELCz,2024-04-22T19:22:51Z,team,true,strongly agree,,,,,too short a time to respond via email,Yes,
3w386nGkEksB2Euh6,WQB94SfagLTDMAbDg,NWGXm55eNWYfJELCz,2024-04-22T19:22:53Z,team,true,strongly agree,,,,,"None, very enjoyable.",Yes,
6BePkoJLfwCkkfqAz,uh7rF9vFcXz4uvGGe,NWGXm55eNWYfJELCz,2024-04-22T19:23:04Z,individual,true,agree,,,,,It was hard to work cooperatively,Yes,
shMQh8gW2rsFL565J,8mo7w4wrr86hpK2u8,NWGXm55eNWYfJELCz,2024-04-22T19:23:05Z,individual,false,strongly disagree,,,,,People on my team left during the experiment. Which in turn hurt the team.  ,No,
EweqdQAXdFTg27kg9,oNDba4Afn8xQBNaQj,NWGXm55eNWYfJELCz,2024-04-22T19:23:20Z,,,,28,female,keeping everyone's mood up!,Yes but a bit more would be good.,,,master
v4b3nNsvAGeZzxqxE,yZSes4tCCfr7rGQzG,NWGXm55eNWYfJELCz,2024-04-22T19:23:23Z,,,,36,female,"good in some, bad in others",yes very,,,bachelor
9tdYSCbMrBY499MQq,uh7rF9vFcXz4uvGGe,NWGXm55eNWYfJELCz,2024-04-22T19:23:37Z,,,,64,male,perseverance,yes,,,bachelor
4vKrxjChkrbAzSNS9,KeAMDKcG7mD25S9Tk,cy7Qiyo7cTrh5HJpt,2024-04-22T19:23:45Z,individual,true,strongly agree,,,,,Waiting room was quick,Yes,
dhQu8JogR65k7JDHv,rjXZD5zAj7BAxdSdN,cy7Qiyo7cTrh5HJpt,2024-04-22T19:23:48Z,team,true,strongly agree,,,,,,Yes,
XCunDSQJuWdSA4psr,HE9qhX4FTM9n4gdyK,cy7Qiyo7cTrh5HJpt,2024-04-22T19:23:54Z,team,true,strongly agree,,,,,Really fun and the interation was amazing,Yes,
g7cZDPwXz3xzd4Esp,8mo7w4wrr86hpK2u8,NWGXm55eNWYfJELCz,2024-04-22T19:23:59Z,,,,40,Male,I am very good at puzzles,I am not sure what the final pay is. It is not clear to me.,,,bachelor
Dbe3Dgp3b3rj4b95t,rjXZD5zAj7BAxdSdN,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:09Z,,,,,,low,yes,,,high-school
noZW9rGL5bDMZDkZM,aWYdLjZxusNT2G4KB,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:10Z,team,true,agree,,,,,It was hard!,Yes,
tY9ucTRJPbxYFawGQ,G3mx35ToFWEMBNQsd,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:21Z,team,true,strongly agree,,,,,very fun. I think the no typing before words on the audio one was a bit premature and caught many of us that were killing time in chat. There should be a warning not to type again before that one.,Yes,
THxReaRbpFimn4Aqb,aWYdLjZxusNT2G4KB,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:26Z,,,,46,female,so/so,yes,,,master
3J3Ch3TwNeWztDduE,KeAMDKcG7mD25S9Tk,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:32Z,,,,60,Female,I thought I was a take charge and communicated with my team.,Yes the pay was very fair,,,bachelor
TvfERESrJmwbMHCRL,WQB94SfagLTDMAbDg,NWGXm55eNWYfJELCz,2024-04-22T19:24:35Z,,,,52,female,Average to fair; did my best to contribute to the best of my ability.,"Yes, curious about the payout.",,,high-school
nLTWphmcBqimeMWgg,HE9qhX4FTM9n4gdyK,cy7Qiyo7cTrh5HJpt,2024-04-22T19:24:44Z,,,,27,male,I loved to play with teammates,Yes,,,master
LaRwTDy8yhvcWcEmx,G3mx35ToFWEMBNQsd,cy7Qiyo7cTrh5HJpt,2024-04-22T19:25:42Z,,,,30,female,slightly above average,I was hoping for higher (at least $10) since I gave up working DoorDash/UberEast for this and would have made at least that probably during the lunch rush even if it were slow...,,,master
mT6KgfoELwByp3FdD,qaW8YihkZ8DYZfLnf,yWNJtcxZXQZ86PMkd,2024-04-22T19:28:50Z,team,true,agree,,,,,Nothing to add at this time.,Yes,
FxtMfCqmbsfjbbnoW,JoSyqa3hjrEHEyu27,yWNJtcxZXQZ86PMkd,2024-04-22T19:29:23Z,team,true,strongly agree,,,,,Interesting activity. Enjoyed it.,Yes,
FSKp6RnsrjaFRMDGN,qaW8YihkZ8DYZfLnf,yWNJtcxZXQZ86PMkd,2024-04-22T19:29:25Z,,,,50,Female,Basic,Yes,,,high-school
BAcqtpBR6iTHneKZz,pARJLxPss2xnJWmWW,yWNJtcxZXQZ86PMkd,2024-04-22T19:30:01Z,team,true,agree,,,,,It was a nice experience to work together with team mates.,Yes,
Dz7PM6dKcisAAj9eB,JoSyqa3hjrEHEyu27,yWNJtcxZXQZ86PMkd,2024-04-22T19:30:10Z,,,,30,Male,Good,Yes,,,bachelor
4GFTnmtptJX7p9CgB,pARJLxPss2xnJWmWW,yWNJtcxZXQZ86PMkd,2024-04-22T19:32:23Z,,,,48,female,"I did well, as well as my team mates.",It's okay,,,other
LTke6LdS676CFSjSk,DNr5TM7Q6MWvYwRET,QrHu4tWTF84XPe8Et,2024-04-22T20:19:33Z,individual,,neither agree nor disagree,,,,,the logic problem table was hard to use since it couldn't describe all possible relationships. The labels were also loading in the wrong place. The textbox given was too small to take notes (even after zooming out). It made it difficult to complete the logic task. More assurances that pay will come through MT despite the link being outside of it would be helpful. This textbox is not wide enough.,Yes,
ENN7bCd7xDPuDXweS,DNr5TM7Q6MWvYwRET,QrHu4tWTF84XPe8Et,2024-04-22T20:23:33Z,,,,37,Female,"Medium low. Some of the games required more focus than I could muster at the moment, especially since I was having difficulty with my keyboard/mouse and the interface loading.","I'm going to guess that it's erring on the side of low paying considering effort required, time needed, and overall riskiness of this interface causing lack of trust. The task creator seems like they are trying to communicate well, but they should be shooting for a higher min per hour payment over $12.",,,bachelor
HadTmXrXxEcauB2Kb,W5jqaTmWouKT4mThY,FoZE6dFD5B9NEk2Yi,2024-04-22T20:27:13Z,individual,,disagree,,,,,word problems not fun,No,
zhkKBu7F96TYL6GKm,W5jqaTmWouKT4mThY,FoZE6dFD5B9NEk2Yi,2024-04-22T20:28:38Z,,,,50,female,the writing,yes,,,
NL9iGPgnJTMojuFjd,Qezost8BWiabmMFEt,2no6KFpEq8N7RuZFw,2024-04-22T20:37:46Z,team,true,neither agree nor disagree,,,,,,Yes,
HaSMXxxGXMvFa7Hyp,D46CsytNxP4HZFdLj,2no6KFpEq8N7RuZFw,2024-04-22T20:37:56Z,individual,true,strongly agree,,,,,it was very funa and amusing.,Yes,
DXwPLYJduCMD7foeC,p35P5AP2vBGxMcCTq,2no6KFpEq8N7RuZFw,2024-04-22T20:38:15Z,individual,false,strongly disagree,,,,,Let us know the bonus as we go. I don't think this was worth the time.,No,
s5DELuQXoR3fE6bzc,D46CsytNxP4HZFdLj,2no6KFpEq8N7RuZFw,2024-04-22T20:38:19Z,,,,45,male,"I was decent at some aspects, when it came to unscrambling.",yes.,,,bachelor
G5yRn2zj84Yqq9rBM,Qezost8BWiabmMFEt,2no6KFpEq8N7RuZFw,2024-04-22T20:38:25Z,,,,65,female,Strong on some not on others,yes,,,high-school
LfyGws59cFmK5h3jR,xK2X9fiAwfoGN6J96,2no6KFpEq8N7RuZFw,2024-04-22T20:38:25Z,team,true,strongly agree,,,,,"The game with the 4 selections was too large to fit on my 17"" screen. I had to keep moving the screen to see what the choices were ",Yes,
p54Fx5ALCYgrg34dS,p35P5AP2vBGxMcCTq,2no6KFpEq8N7RuZFw,2024-04-22T20:39:13Z,,,,62,female,giving an answer without it being interrupted,no,,,bachelor
a6vzrTspyLwFXuRiA,xK2X9fiAwfoGN6J96,2no6KFpEq8N7RuZFw,2024-04-22T20:39:21Z,,,,72,female,average or a bit higher,I think the pay was very fair. I would have played no matter what the pay was. Your games are always fun and I'm glad when I'm able to participate. ,,,bachelor
5ERAzeysueTtCRjnK,8NQecuYJFiC7TmAYc,8zGzAG68dtPujD8RT,2024-04-22T20:39:22Z,team,true,strongly agree,,,,,,Yes,
gaHx6gcSZ2QWBW8Ng,C34P8yHnxE87H6X6g,8zGzAG68dtPujD8RT,2024-04-22T20:39:39Z,individual,false,agree,,,,,I wish the time for the audio words could have been shorter,Yes,
oA7ML2nTDaWPj8bto,C34P8yHnxE87H6X6g,8zGzAG68dtPujD8RT,2024-04-22T20:39:55Z,,,,60,Female,Strong,yes,,,bachelor
TLWwfiLTeBdFbPTMA,8NQecuYJFiC7TmAYc,8zGzAG68dtPujD8RT,2024-04-22T20:40:13Z,,,,33,Female,I think i did okay. Wasnt the strongest on the team or fairest.,Yes,,,bachelor
XAfu7CaNh7mHS2raN,kejqGCy73oySp5mgr,d4YKJMFJScJwxzCSW,2024-04-22T20:40:50Z,individual,true,strongly agree,,,,,"It ran good, I had no technical issues.",Yes,
c2EKHvzf8X9bsFf6H,KQfxx5iG854DEPpDi,d4YKJMFJScJwxzCSW,2024-04-22T20:41:00Z,team,true,agree,,,,,audio files should be consistent across participatns,Yes,
jcpwN7GpPHzMocFSg,gheatoqrS46D3aHwP,d4YKJMFJScJwxzCSW,2024-04-22T20:41:26Z,team,true,neither agree nor disagree,,,,,I wish I could have a bit more time on harder games such as the puzzles,Yes,
hCPgqt32y6mobFQwt,hEfCZkNN2LsqB9otB,8zGzAG68dtPujD8RT,2024-04-22T20:41:57Z,team,true,neither agree nor disagree,,,,,no,Yes,
hjCP6oPAuqRYqZ69u,BuSSTRNaKxWFFmNyP,M9jsePArmKxGFutGa,2024-04-22T20:42:50Z,team,true,strongly agree,,,,,this was really fun!,Yes,
9CW5sRaxmbGewYqFb,kejqGCy73oySp5mgr,d4YKJMFJScJwxzCSW,2024-04-22T20:42:56Z,,,,42,male,I would say I was the middle of the pack. Corgi was the strongest player and Bee the weakest.,"It looks like 7.50$ is what I'll be getting from what it says up there? So no, $7.50 is not an appropriate hourly rate at all. I could be wrong though, I don't really know what I'll be getting paid in total, anything above 12$ would be good for an hourly rate.",,,high-school
NCyHBXen3tPDECYN2,coqDP6txWH4BPPSMx,M9jsePArmKxGFutGa,2024-04-22T20:42:57Z,individual,true,agree,,,,,Not particularly.  ,Yes,
SZBqnjqRfkfwCuiEg,NTiFDL5Jc82hwD3DH,M9jsePArmKxGFutGa,2024-04-22T20:43:11Z,team,true,strongly agree,,,,,"Notifications were timely, the waiting room was fine, and the experience was superlative.",Yes,
XHoFMRquMeZHKgxEp,M6MMgQwGcbcoeZxRB,M9jsePArmKxGFutGa,2024-04-22T20:43:23Z,team,true,agree,,,,,I had only 5 minutes notification. At least 10 minutes would be nice.,Yes,
ffgCjkfCRh35KegsP,BuSSTRNaKxWFFmNyP,M9jsePArmKxGFutGa,2024-04-22T20:43:35Z,,,,48,Female,definitely the word scramble,yes it didn't even feel like work,,,high-school
De4fei7SDtWCD3x6L,gheatoqrS46D3aHwP,d4YKJMFJScJwxzCSW,2024-04-22T20:43:41Z,,,,32,Female,My strength is simple questions like unscramble words and adjusting the arrow game,I feel the pay was mostly fair because everyone on the team tried to help,,,master
9rQHbxhHWj8BXBNKQ,uQro3z5bSSmkF6cQ4,M9jsePArmKxGFutGa,2024-04-22T20:44:00Z,team,true,strongly agree,,,,,"The gameplay and the chat was engaging, and we all tried to help the team. Some tasks were easier than others, and some team members were better at different tasks.",Yes,
EcJ7KtKNzau7JqK7P,RoRSeDrDXoQKWrDoD,M9jsePArmKxGFutGa,2024-04-22T20:44:28Z,team,false,strongly agree,,,,,Great experience but not good at a couple of the games. Very good teammates.,Yes,
yub4bYH2ewEZvdPhE,NTiFDL5Jc82hwD3DH,M9jsePArmKxGFutGa,2024-04-22T20:44:47Z,,,,46,male,The words scramble and remembering words.,"Yes, though we were confused on if the last word should be included in the list of remembered words. It was also unclear about how we should proceed in the the paragraph typing exercise (unless that was part of the idea).",,,master
J43ANga5wCg59n75R,M6MMgQwGcbcoeZxRB,M9jsePArmKxGFutGa,2024-04-22T20:44:49Z,,,,30,Female,I would say average strength. Some areas were more difficult while others I excel at.,"Extremely fair, as all participated in the chat and expressed opinions.",,,high-school
MDrRMPD5CJ4KMxnWs,coqDP6txWH4BPPSMx,M9jsePArmKxGFutGa,2024-04-22T20:45:02Z,,,,36,Female,Typing as about the only thing I was really good at.  ,Not really.  What I will be receiving is definitely very underpaid for an hour of contribution time.  If there was some base pay as well to raise it to even closer to $10 minimum for the hour of time yes but otherwise I was pretty disappointed in my bonus amount.,,,high-school
k3GoJSctj6vuWqvC6,uQro3z5bSSmkF6cQ4,M9jsePArmKxGFutGa,2024-04-22T20:45:18Z,,,,54,male,"I was good at editing transcriptions, and remembering spoken words.","Yes, its fair.",,,other
rmiTbSmHTKewX6Fe8,KQfxx5iG854DEPpDi,d4YKJMFJScJwxzCSW,2024-04-22T20:45:26Z,,,,41,Male,"I seemed to be a good typist, and I recognized the shameful deception with the audio files early on, so I was able to help the team coordinate.","The potential bonus that I was promised up front seemed fair, but I should have known that it was totally infeasible, given the past conduct of researchers at MIT.",,,bachelor
WNQJHcgQTHSm3FHX5,hEfCZkNN2LsqB9otB,8zGzAG68dtPujD8RT,2024-04-22T20:45:36Z,,,,40,female,average,,,,bachelor
FRFNo8yHcdSB4BJZT,RoRSeDrDXoQKWrDoD,M9jsePArmKxGFutGa,2024-04-22T20:47:04Z,,,,55,Female,"I like working with words. In this game ,my biggest strength was my team.",Yes it would have been had I done better. I think it is very reasonable though.,,,high-school
5WqyxRfTXnjrMLrFL,hk_5c860a678d69be08,kwbeByePvavap33QA,2024-04-22T21:17:05Z,team,true,agree,,,,,It was fun overall.,Yes,
Wkw3QWAvcDpA3pFBp,yd4R8vDCdTcytgn2v,kwbeByePvavap33QA,2024-04-22T21:17:23Z,team,false,agree,,,,,Instant access passes to studies and games are very specific and fun.,Yes,
eqsjF7T8GbcFsgRFZ,kSRiCNPvmzmqYriyQ,kwbeByePvavap33QA,2024-04-22T21:17:38Z,team,true,strongly agree,,,,,no,Yes,
PawLKDdfHhDCkwAtC,hk_5c860a678d69be08,kwbeByePvavap33QA,2024-04-22T21:17:44Z,,,,46,Male,The word scramble was my strength.,Mainly,,,bachelor
hjnoc28QiXwZ5Z4yw,yd4R8vDCdTcytgn2v,kwbeByePvavap33QA,2024-04-22T21:17:58Z,,,,32,Male,Typing quickly,Yes!,,,high-school
ke26mk3SvkRj4REBL,kSRiCNPvmzmqYriyQ,kwbeByePvavap33QA,2024-04-22T21:18:36Z,,,,61,Female,easy,yes,,,bachelor
TDQbqMZiNqwPtpW4j,qh6sR6mrHKELzcF5k,3je9eF333X9qPfNty,2024-04-23T14:17:27Z,individual,,strongly agree,,,,,,Yes,
3yCrs5R9Ji3YpSH6Y,qh6sR6mrHKELzcF5k,3je9eF333X9qPfNty,2024-04-23T14:18:00Z,,,,36,male,Easier to type and follow instructions than be creative.,Sure.,,,bachelor
NgxJjeXLRb4Gkin6R,RDANcuGv3u5mnKiER,PBK5tpWN9e6gmJbaF,2024-04-23T14:25:37Z,team,,strongly agree,,,,,Interesting task. Very difficult but challenging and fun. ,Yes,
t5XkbXmGjibD5KP9F,RDANcuGv3u5mnKiER,PBK5tpWN9e6gmJbaF,2024-04-23T14:26:36Z,,,,43,Male,"I think on some of the games I did OK, and others not so well. I think I did about average. ","Sure. I got to exercise my mind, play and earn some money. ",,,bachelor
fqMt9xfoWSmhP9GPs,fZqawkAchHwzzBXMx,hi4rhiLfx89uMWw29,2024-04-23T14:45:55Z,team,true,agree,,,,,,Yes,
54vEya5eisuK6PizB,mfLfG4M3Evw72wsDu,hi4rhiLfx89uMWw29,2024-04-23T14:46:34Z,team,false,strongly agree,,,,,awesom,Yes,
oLX6o3PgmHuJireGF,SQczBvHB5MvKmGBkt,hi4rhiLfx89uMWw29,2024-04-23T14:46:43Z,team,true,strongly agree,,,,,IT WAS A GREAT EXPERIENCE! tHE WAITING ROOM WAS TIMED VERY WELL!,Yes,
ea656LmQMLacxF5g9,gfE63tw74XzokiTBv,PvxRhgr7FtDjbupTB,2024-04-23T14:46:46Z,team,true,disagree,,,,,NO,No,
E3v7D5Eu75QG85db7,Lpfzuyn7v2BqBMnok,PvxRhgr7FtDjbupTB,2024-04-23T14:46:49Z,individual,false,disagree,,,,,stressful lol...,No,
4AvxpFhMpPhkRJZoF,zN8HauNWQ6K7DdM9h,PvxRhgr7FtDjbupTB,2024-04-23T14:47:00Z,team,true,disagree,,,,,,No,
o8wSsxHt9M8hGYGCv,iigurrtbj2of8bjkn,PvxRhgr7FtDjbupTB,2024-04-23T14:47:02Z,team,false,agree,,,,,FUN,Yes,
KiBMxKMEJFfBKXAT7,iigurrtbj2of8bjkn,PvxRhgr7FtDjbupTB,2024-04-23T14:47:03Z,,,,,,,,,,
yoCGi95AfZfM2YNR6,8PZQS5JH5BMBPeF7C,PvxRhgr7FtDjbupTB,2024-04-23T14:47:04Z,team,false,strongly agree,,,,,It was fine. ,Yes,
fLWEn9Y9z2MATNETb,mfLfG4M3Evw72wsDu,hi4rhiLfx89uMWw29,2024-04-23T14:47:04Z,,,,59,Male,Medium,ok,,,master
Ft8qtMvLwKoXibDH3,gfE63tw74XzokiTBv,PvxRhgr7FtDjbupTB,2024-04-23T14:47:05Z,,,,33,f,I fixed mistakes,no,,,master
K2yNAYqXBDMKb2dQb,Lpfzuyn7v2BqBMnok,PvxRhgr7FtDjbupTB,2024-04-23T14:47:13Z,,,,36,male,stayed out.. didn't add to the chaos after I felt something amiss.,Not sure what I'm going to get. We'll see.,,,bachelor
qpP4nSF36BeNujZtJ,fZqawkAchHwzzBXMx,hi4rhiLfx89uMWw29,2024-04-23T14:47:15Z,,,,60,male,i was pretty average,yes,,,high-school
Phe6MFsz69sbzcoAn,wdwkg85WKk6mtoJtn,PvxRhgr7FtDjbupTB,2024-04-23T14:47:17Z,team,true,strongly agree,,,,,Everything is good!,Yes,
CRNLJBhjZa2Ma6Kcy,SQczBvHB5MvKmGBkt,hi4rhiLfx89uMWw29,2024-04-23T14:48:10Z,,,,53,FEMALE,WE ALL WERE EQUAL PLAYERS AND CONTRIBUTED FAIRLY.,YES. THANK YOU SO MUCH!,,,bachelor
Px93G8YYgSA7dukzK,8PZQS5JH5BMBPeF7C,PvxRhgr7FtDjbupTB,2024-04-23T14:48:11Z,,,,59,female,I used the chat box. ,It was fair. ,,,other
EBGztbhGx4ZHd5ebd,zN8HauNWQ6K7DdM9h,PvxRhgr7FtDjbupTB,2024-04-23T14:48:22Z,,,,38,Male,I was the fastest typer but five players all working on the same task without much coordination was too much.,I think we did poorly.,,,high-school
jMT4FEmCdPk4zS2P5,wdwkg85WKk6mtoJtn,PvxRhgr7FtDjbupTB,2024-04-23T14:48:47Z,,,,24,Male,I try my best to help the team.,I think yes,,,bachelor
qRsgAgmvHxpPsbgF5,mFQycYNpCQ82YwYK9,ZXTm6bs7EMQcviDkf,2024-04-23T14:50:42Z,individual,false,agree,,,,,no,Yes,
rbrSRQj9yxSrLhkoD,8igh8oQgHuyAyK4pc,ZXTm6bs7EMQcviDkf,2024-04-23T14:50:47Z,individual,false,neither agree nor disagree,,,,,chatotic ,Yes,
zZYwCtrK7zCmhkQun,Ncjc8SACqKJyDu4ii,ZXTm6bs7EMQcviDkf,2024-04-23T14:51:06Z,individual,false,agree,,,,,It was fun but I wished that I had better partners. The partners made the last logic proble hard because they kept changing the answers,Yes,
xuTiLZrf9SvW7mxLW,mFQycYNpCQ82YwYK9,ZXTm6bs7EMQcviDkf,2024-04-23T14:51:31Z,,,,57,female,fair,yes,,,other
6ScTq2riMobwKPpXB,Ncjc8SACqKJyDu4ii,ZXTm6bs7EMQcviDkf,2024-04-23T14:52:10Z,,,,31,Male,I can type fast and I can think through problems,I felt like not all team members contributed an even amount of work,,,master
pF395e47DRnAjnAvA,8igh8oQgHuyAyK4pc,ZXTm6bs7EMQcviDkf,2024-04-23T14:52:26Z,,,,52,male,ok ,a tad low but ehh! I didn't have to put pants on (JK). ,,,high-school
itWsj32hkt5YCDvej,hk_d4fcf253c950bd12,weGRcNbBpsyo5pkWX,2024-04-23T15:13:40Z,individual,,agree,,,,,,Yes,
8oZ5znzvhX2SRPX2b,hk_d4fcf253c950bd12,weGRcNbBpsyo5pkWX,2024-04-23T15:14:18Z,,,,76,female,weak,yes,,,bachelor
2k2pFNtbsGJYcZdaq,F54QY9FCfJdgyFaZp,YxAyMXtwqqTZ6KAD5,2024-04-23T15:41:58Z,individual,,agree,,,,,no,Yes,
tr2jiNqdeBzoEjA57,F54QY9FCfJdgyFaZp,YxAyMXtwqqTZ6KAD5,2024-04-23T15:42:12Z,,,,33,Male,ok,yes,,,bachelor
vJmcLX2GkK6nbvswK,SEtGmERXxTGZtQXTL,YEpZ43gBMzTJAduTs,2024-04-23T15:45:40Z,individual,true,neither agree nor disagree,,,,,it was confusing,,
g5J3eCtBrvrxwDi3d,SEtGmERXxTGZtQXTL,YEpZ43gBMzTJAduTs,2024-04-23T15:47:04Z,,,,68,female,poor,i was to confused to know.,,,other
