task,stage,user,editors,updatedAt,instructions_understand,instructions_execute,instructions_replicate,goal_maximize,goal_standard,goal_optimize,goal_full,goal_partial,measure_easy,measure_immediate,outcome_certain,outcome_probablistic,outcome_evident,solution_valid,solution_optimal,solution_count,solution_range,solution_singularity,solution_path,solution_objectivity,solution_verifiability,solution_demonstrability,stakeholder_multiplicity,metric_multiplicity,objective_multiplicity,solution_multiplicity,individual_theoretical,individual_practical,group_dependencies,participation_equal,conflict_cooperation,conflict_interests,external_adversary,external_standard,task_divisibility,task_specialization,skills_specialization,subtasks_additive,subtasks_disjunctive,performance_all,performance_worst,performance_best,performance_random,performance_average,performance_cumulative,submission_together,submission_separate,subtasks_discretionary_weight,subtasks_discretionary_combination,complexity_easier,complexity_harder,familiarity_population,familiarity_individual,intrinsic_overall,intrinsic_mastery,intrinsic_connectedness,intrinsic_autonomy,effort_mental,effort_physical,generate_plan,generate_process,generate_ideas,generate_creativity,resolve_opinion,resolve_perspectives,resolve_information,resolve_data,options_evaluating,options_independent,options_dependent,metric_multiplicity_tradeoff,name_clean,name,phase,source,implemented,task summary url
Mastermind,agreement,Katelyn | Dodge,katelynbottcher -> dodgehill,2021-10-13T19:42:19.190Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,more than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,tell which position or color is correct,"Create a more complex solution space, i.e. add more colors or positions",Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,mastermind,Mastermind,2,https://www.sciencedirect.com/science/article/abs/pii/S0749597802000109,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/Mastermind.md
Whac-A-Mole,agreement,Katelyn | Sarika,katelynbottcher  -> sarikasu,2021-05-06T14:37:44.732Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,More than 20,more than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,NA,less colors,more competitors,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,whac a mole,Whac-A-Mole,2,https://www.pnas.org/content/pnas/110/50/20046.full.pdf,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Whac-A-Mole.md
The maximum of a function,individual,Sarika,katelynbottcher -> sarikasu,2021-09-07T18:18:14.507Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,11-20,More than 20 ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,make the functions more complex,add more people to the group ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,the maximum of a function,The maximum of a function,2,https://www.nber.org/papers/w27071,FALSE,https://github.com/Watts-Lab/task-mapping/issues/109
Estimating pages of a book,agreement,Sarika | Karan,sarikasu -> KaranSampath,2021-10-08T20:56:07.832Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,The researcher could provide a range which the answers lied in.,They could make the book images blurred,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,estimating pages of a book,Estimating pages of a book,2,https://doi.org/10.1371/journal.pone.0115212,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Estimating%20pages%20of%20a%20book.md
"Forecasting and Estimation in Groups, with Confidence",agreement,Sarika | Andrew,Andydrew93 -> sarikasu,2021-04-01T15:52:46.789Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,6-10,10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,"c(""Best performing member"", ""Worst performing member"", ""Average performance"")",Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Make the questions easier and common knowledge questions for practice,Remove the most accurate member after each group,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,"forecasting and estimation in groups, with confidence","Forecasting and Estimation in Groups, with Confidence",2,Ask Barb Mellers for her stimuli from her recent unpublished work in the WLB,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Forecasting%20and%20Estimation%20in%20Groups%2C%20with%20Confidence.md
Crisis mapping,individual,Sarika,sarikasu -> KaranSampath,2021-08-14T16:38:23.660Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,More than 20,More than 20 ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,"c(""Best performing member"", ""Average performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,provide a hint to the best solutions ,punish teams for poor decision making ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,crisis mapping,Crisis mapping,2,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153048,FALSE,https://github.com/Watts-Lab/task-mapping/blob/4524eac7add1b7379902be7b95f2f0d381697edf/tasks/Crisis%20Mapping.md
TOPSIM - general mgmt business game,agreement,Dodge | Sarika,sarikasu -> dodgehill,2021-09-30T13:23:25.246Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Average performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Remove intergroup competition, i.e. letting each group work in their own simulation",provide complex figures and data that teams need to interpret and understand before making decisions,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,topsim  general mgmt business game,TOPSIM - general mgmt business game,2,"Frick, Rose and Kolle 2017",FALSE,https://github.com/Watts-Lab/task-mapping/blob/c580801be99517a3cbb8f970dda6c66631ac0380/tasks/TOPSIM%20-%20general%20mgmt%20business%20game.md
pharmaceutical company (hidden-profile),individual,Karan,sarikasu -> KaranSampath,2021-08-09T15:28:28.172Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,"c(""Average performance"", ""Cumulative performance"")",Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,They could alert them as to the issues of information sharing and bias,The task could make biasing information easier with more cues,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,pharmaceutical company,pharmaceutical company (hidden-profile),2,https://journals.sagepub.com/doi/abs/10.1177/0146167299259002?casa_token=h3dIDM80m0UAAAAA:uJX3-SjKsVXMx4ral0hG0_toJymnsRBpLEVmaiHxlIBY2RM8L3OoH_Ken5ZUNsxp_2TMXa-NeG8srw,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Pharmaceutical%20Company%20(hidden-profile).md
Recall stories,agreement,Sarika | joycewang3,sarikasu -> joycewang3,2021-10-29T20:43:26.475Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,11-20,11-20 ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,"c(""Best performing member"", ""Average performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Allow the participants to read/hear the story an additional time,Increase the number of questions i.e. more information needed to be memorized to correctly answer the questions,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,recall stories,Recall stories,2,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-9450.2005.00465.x,FALSE,https://github.com/Watts-Lab/task-mapping/blob/8b327608eaa9f2557e8d2d9bc6f9794b54331763/Recall%20Stories.md
Splitting a deck of cards,individual,Sarika,dodgehill -> sarikasu,2021-10-11T19:14:51.770Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,provide a hint as to the color or sign of card in the pattern ,"for the card shown, hide information like color or sign  ",Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,splitting a deck of cards,Splitting a deck of cards,2,https://www.sciencedirect.com/science/article/pii/S0749597803001055 https://psycnet.apa.org/record/1984-06703-001  https://www.sciencedirect.com/science/article/abs/pii/S0749597896900886,FALSE,https://github.com/Watts-Lab/task-mapping/blob/452136274fc3cd91b8fbe4438bcd93d252766fbd/tasks/Splitting%20a%20deck%20of%20cards.md
Putting food into categories,agreement,Katelyn | Sakra,katelynbottcher -> sarikasu,2021-04-18T19:01:03.832Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,NA,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,more fruits,less fruits,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,putting food into categories,Putting food into categories,2,Crowe and Higgins 1997; McGarth 1984; Choi & Thompson 2005,FALSE,https://github.com/Watts-Lab/task-mapping/pull/53 
Manipulation (change object to goal state),individual,Andrew,katelynbottcher -> andrewcullen1,2021-10-05T16:49:07.165Z,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,More than 20,"There is a finite number of solutions, unclear how many exactly. ",Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Average performance"", ""Cumulative performance"")",Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"make the candle further away, provide different material","make the candle closer, provide different materials",Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,manipulation change object to goal state,Manipulation (change object to goal state),2,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Manipulation%20(change%20object%20to%20goal%20state).md
"Wolf, goat and cabbage transfer",individual,Sarika,sarikasu -> benjamin-manning,2021-09-01T17:43:05.462Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Provide the first step to solve the puzzle,limit communication between groups,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"wolf, goat and cabbage transfer","Wolf, goat and cabbage transfer",2,"https://en.wikipedia.org/wiki/Wolf,_goat_and_cabbage_problem ALSO Shaw 1932",FALSE,https://github.com/Watts-Lab/task-mapping/pull/195#issue-717338343
New Recruit,individual,Karan,sarikasu -> KaranSampath,2021-08-05T05:52:36.421Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,2-5,2-5,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Average performance,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,The researcher could give examples of different successful negotiations which the participates could replicate,The researcher could make the repercussions of not completing negotiation less egregious,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,new recruit,New Recruit,2,https://www.sciencedirect.com/science/article/abs/pii/S0749597802005320?casa_token=rx_dm0mo3UUAAAAA:ifdi1Y_euN4YTPaZ7yqTurJ6bsE5-GkUNEaiEr9ZHli-Njg1j8HdA_eT_Ke6hofAaA5dE9_DMD4 ; https://www.sciencedirect.com/science/article/abs/pii/S0749597810000257?casa_token=IeGCqA1owUkAAAAA:8a99guS3oI-0pnUk_LqLZamNx4LqCB7DEqLrvQnSoeEKikq0w-jpgCgxE53MzQA1taHZxmmgA4c,FALSE,https://github.com/Watts-Lab/task-mapping/blob/040dd334ce240c0103becf639855a9e194a5ff05/tasks/New%20Recruit.md
pharmaceutical company (hidden-profile),individual,Sarika,sarikasu -> KaranSampath,2021-08-09T14:04:29.959Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,6-10,6-10,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Allow the drugs to be rolled out over time- participants choose order that they are released ,Provide costs for the company to produce each drug ,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,pharmaceutical company,pharmaceutical company (hidden-profile),2,https://journals.sagepub.com/doi/abs/10.1177/0146167299259002?casa_token=h3dIDM80m0UAAAAA:uJX3-SjKsVXMx4ral0hG0_toJymnsRBpLEVmaiHxlIBY2RM8L3OoH_Ken5ZUNsxp_2TMXa-NeG8srw,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Pharmaceutical%20Company%20(hidden-profile).md
Investment game (hidden-profile),individual,Andrew,sarikasu -> katelynbottcher,2021-03-04T18:10:10.058Z,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,More than 20,$0-$30,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"c(""Average performance"", ""Unsure"")",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,"could introduce norm signaling ie ""most people give at least this much to the other player""","By playing the game over multiple rounds, the researcher could introduce reputation effects.",Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,NA,investment game,Investment game (hidden-profile),2,https://psycnet.apa.org/record/1997-30049-007,FALSE,https://github.com/Watts-Lab/task-mapping/blob/791db3e5983e5a379fcdb5bbfbcd08656d4aced0/tasks/Estimating%20Geological%20Metrics.md
Shopping plan,individual,Sarika,katelynbottcher -> sarikasu,2021-03-29T17:56:42.895Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,remove items from a list ,add more grocery stores to decide between ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,shopping plan,Shopping plan,2,https://science.sciencemag.org/content/330/6004/686.full,FALSE,https://github.com/Watts-Lab/task-mapping/pull/20
Game of Clue - Terrorist Attack,individual,Sarika,sarikasu -> katelynbottcher,2021-05-05T15:04:26.040Z,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,allow them to share clues with more than 1-2 neighbors ,don't shuffle the identities at each round ,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,game of clue  terrorist attack,Game of Clue - Terrorist Attack,2,https://pubsonline.informs.org/doi/full/10.1287/orsc.2015.0980,FALSE,https://github.com/Watts-Lab/task-mapping/blob/b39bf9b09554a149e7c127af23e95f1d636380c8/tasks/Game%20of%20Clue%20-%20Terrorist%20Attack.md
